Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Barcelona,es ESP,1,28,23,3,2,53,9,+44,72,2.57,54.3,22.2,+32.1,+1.15,W W W W D,83148,Robert Lewandowski - 17,Marc-André ter Stegen
2,Napoli,it ITA,1,29,24,2,3,66,21,+45,74,2.55,52.8,24.9,+28.0,+0.96,L W W L W,27495,Victor Osimhen - 21,Alex Meret
3,Arsenal,eng ENG,1,30,23,4,3,72,29,+43,73,2.43,58.9,31.6,+27.3,+0.91,W W W W D,60205,Martinelli - 14,Aaron Ramsdale
4,Manchester City,eng ENG,2,29,21,4,4,75,27,+48,67,2.31,61.9,22.2,+39.7,+1.37,W W W W W,53194,Erling Haaland - 30,Ederson
5,Paris S-G,fr FRA,1,30,22,3,5,70,29,+41,69,2.30,62.0,35.5,+26.5,+0.88,W W L L W,40067,Kylian Mbappé - 19,Gianluigi Donnarumma
6,Bayern Munich,de GER,1,27,17,7,3,77,29,+48,58,2.15,59.1,29.8,+29.3,+1.08,W W L W W,75000,Jamal Musiala - 11,Manuel Neuer Yann Sommer
7,Real Madrid,es ESP,2,28,18,5,5,59,24,+35,59,2.11,59.2,25.9,+33.3,+1.19,D W L W L,57080,Karim Benzema - 14,Thibaut Courtois
8,Lens,fr FRA,2,30,18,9,3,50,22,+28,63,2.10,52.4,32.3,+20.1,+0.67,D W W W W,37577,Loïs Openda - 15,Brice Samba
9,Dortmund,de GER,2,27,18,2,7,59,36,+23,56,2.07,49.8,35.0,+14.7,+0.54,W D W L W,81186,Julian Brandt - 8,Gregor Kobel
10,Atlético Madrid,es ESP,3,28,17,6,5,45,20,+25,57,2.04,42.8,28.7,+14.2,+0.51,W W W W W,56234,Álvaro Morata - 10,Jan Oblak
11,Marseille,fr FRA,3,30,18,7,5,54,29,+25,61,2.03,49.8,36.6,+13.2,+0.44,W D W D D,62532,Alexis Sánchez - 12,Pau López
12,Juventus,it ITA,7,29,18,5,6,47,24,+23,59,2.03,42.8,30.7,+12.1,+0.42,L W W W L,25078,Adrien Rabiot Dušan Vlahović - 8,Wojciech Szczęsny
13,Lazio,it ITA,2,29,17,7,5,46,20,+26,58,2.00,36.5,32.4,+4.2,+0.14,W D W W W,24500,Mattia Zaccagni - 10,Ivan Provedel
14,Newcastle Utd,eng ENG,3,29,15,11,3,48,21,+27,56,1.93,49.9,28.8,+21.1,+0.73,W W W W W,52243,Miguel Almirón - 11,Nick Pope
15,Monaco,fr FRA,4,30,17,7,6,63,42,+21,58,1.93,50.2,40.0,+10.1,+0.34,D L W W D,6931,Wissam Ben Yedder - 17,Alexander Nübel
16,Manchester Utd,eng ENG,4,29,17,5,7,44,37,+7,56,1.93,45.8,38.0,+7.8,+0.27,L D L W W,73704,Marcus Rashford - 15,David de Gea
17,Union Berlin,de GER,3,27,15,6,6,42,30,+12,51,1.89,29.5,33.6,-4.1,-0.15,D D W W L,20225,Sheraldo Becker - 8,Frederik Rønnow
18,Roma,it ITA,3,29,16,5,8,39,26,+13,53,1.83,44.9,22.6,+22.3,+0.77,W L L W W,39711,Paulo Dybala - 11,Rui Patrício
19,Real Sociedad,es ESP,4,28,15,6,7,37,26,+11,51,1.82,37.0,25.0,+12.1,+0.43,D D W L W,31969,Alexander Sørloth - 9,Álex Remiro
20,Milan,it ITA,4,29,15,7,7,48,36,+12,52,1.79,45.6,31.7,+13.8,+0.48,L D L W D,46811,Rafael Leão - 10,Ciprian Tătărușanu
21,RB Leipzig,de GER,4,27,14,6,7,50,33,+17,48,1.78,48.0,30.6,+17.4,+0.65,L W L L W,45835,Christopher Nkunku - 12,Janis Blaswich
22,Tottenham,eng ENG,5,30,16,5,9,55,42,+13,53,1.77,43.2,36.1,+7.1,+0.24,L W D D W,61637,Harry Kane - 23,Hugo Lloris
23,Inter,it ITA,5,29,16,3,10,48,33,+15,51,1.76,52.9,26.4,+26.5,+0.91,W L L L D,43384,Lautaro Martínez - 14,André Onana
24,Freiburg,de GER,5,27,13,8,6,39,36,+3,47,1.74,38.1,39.0,-0.9,-0.03,D W D D L,31736,Vincenzo Grifo - 13,Mark Flekken
25,Lille,fr FRA,5,30,15,7,8,54,38,+16,52,1.73,54.9,33.4,+21.5,+0.72,D D W W L,33048,Jonathan David - 19,Lucas Chevalier
26,Villarreal,es ESP,5,28,14,5,9,37,26,+11,47,1.68,41.1,35.1,+6.0,+0.21,W D W W W,16491,José Luis Morales - 7,Gerónimo Rulli
27,Rennes,fr FRA,6,30,15,5,10,48,33,+15,50,1.67,45.7,37.7,+8.0,+0.27,L D W L L,25734,Amine Gouiri - 10,Steve Mandanda
28,Atalanta,it ITA,6,29,14,6,9,47,34,+13,48,1.66,46.2,30.8,+15.3,+0.53,D L W W L,11974,Ademola Lookman - 13,Juan Musso
29,Brighton,eng ENG,7,28,13,7,8,52,36,+16,46,1.64,51.0,33.0,+18.0,+0.64,D W D W L,31460,Alexis Mac Allister - 8,Robert Sánchez
30,Betis,es ESP,6,28,13,6,9,34,29,+5,45,1.61,39.4,37.1,+2.3,+0.08,D D W L L,50924,Borja Iglesias - 12,Rui Silva
31,Leverkusen,de GER,6,27,13,4,10,51,41,+10,43,1.59,43.2,34.1,+9.1,+0.34,W W W W W,26189,Moussa Diaby - 9,Lukáš Hrádecký
32,Lyon,fr FRA,7,30,13,8,9,47,33,+14,47,1.57,46.1,38.4,+7.7,+0.26,D D D W W,40814,Alexandre Lacazette - 18,Anthony Lopes
33,Reims,fr FRA,8,30,11,14,5,40,29,+11,47,1.57,51.2,38.3,+13.0,+0.43,W W L W D,10805,Folarin Balogun - 18,Yehvann Diouf
34,Aston Villa,eng ENG,6,30,14,5,11,41,40,+1,47,1.57,38.4,43.7,-5.3,-0.18,D W W W W,41664,Ollie Watkins - 12,Emiliano Martínez
35,Liverpool,eng ENG,8,29,12,8,9,50,35,+15,44,1.52,52.0,41.2,+10.8,+0.37,W L L D D,53202,Mohamed Salah - 13,Alisson
36,Eint Frankfurt,de GER,7,27,11,8,8,48,40,+8,41,1.52,40.6,34.6,+6.0,+0.22,D D L D L,50092,Randal Kolo Muani - 12,Kevin Trapp
37,Mainz 05,de GER,8,27,11,8,8,45,38,+7,41,1.52,37.6,37.8,-0.3,-0.01,W D D W D,28163,Marcus Ingvartsen Karim Onisiwo - 9,Robin Zentner
38,Nice,fr FRA,9,30,11,12,7,38,28,+10,45,1.50,41.9,33.5,+8.4,+0.28,D D D D L,18650,Gaëtan Laborde - 8,Kasper Schmeichel
39,Lorient,fr FRA,10,30,12,9,9,42,40,+2,45,1.50,35.5,46.0,-10.5,-0.35,D W D L D,13515,Terem Moffi - 12,Vito Mannone
40,Bologna,it ITA,8,29,12,7,10,38,36,+2,43,1.48,31.4,36.6,-5.2,-0.18,L D D W W,11873,Marko Arnautović Riccardo Orsolini - 8,Łukasz Skorupski
41,Wolfsburg,de GER,9,27,10,9,8,46,36,+10,39,1.44,38.4,37.1,+1.3,+0.05,D D W D L,26028,Yannick Gerhardt - 6,Koen Casteels
42,Athletic Club,es ESP,7,28,11,7,10,38,29,+9,40,1.43,38.4,24.4,+14.0,+0.50,D L W D W,43756,Oihan Sancet - 8,Unai Simón
43,Brentford,eng ENG,9,30,10,13,7,47,40,+7,43,1.43,44.0,39.8,+4.2,+0.14,W D D L L,17073,Ivan Toney - 18,David Raya
44,Fiorentina,it ITA,9,29,11,8,10,34,32,+2,41,1.41,40.4,34.2,+6.2,+0.22,W W W W D,24046,Arthur - 6,Pietro Terracciano
45,Osasuna,es ESP,8,28,10,8,10,24,28,-4,38,1.36,28.6,30.5,-1.9,-0.07,D L L D W,19317,Ezequiel Ávila - 7,Aitor Fernández
46,Udinese,it ITA,10,29,9,12,8,39,36,+3,39,1.34,38.3,38.4,-0.1,0.00,D W W L D,13590,Beto - 10,Marco Silvestri
47,Fulham,eng ENG,10,29,11,6,12,39,40,-1,39,1.34,35.2,48.6,-13.5,-0.46,D L L L L,23568,Aleksandar Mitrović - 11,Bernd Leno
48,Clermont Foot,fr FRA,11,30,11,7,12,31,41,-10,40,1.33,34.4,48.3,-13.9,-0.46,W L L W W,10428,Grejohn Kyei Muhammed Saracevic Cham - 5,Mory Diaw
49,Rayo Vallecano,es ESP,9,28,9,10,9,33,33,0,37,1.32,33.1,37.5,-4.4,-0.16,D L D D L,12657,Isaac Palazón Camacho - 6,Stole Dimitrievski
50,Torino,it ITA,11,29,10,8,11,30,35,-5,38,1.31,31.3,33.8,-2.6,-0.09,W W L D L,11524,Antonio Sanabria - 8,Vanja Milinković-Savić
51,Chelsea,eng ENG,11,30,10,9,11,29,31,-2,39,1.30,39.0,36.2,+2.8,+0.09,W D L D L,39988,Kai Havertz - 7,Kepa Arrizabalaga
52,M'Gladbach,de GER,10,27,9,8,10,42,44,-2,35,1.30,40.5,40.0,+0.5,+0.02,D L D D W,48595,Marcus Thuram - 13,Yann Sommer
53,Celta Vigo,es ESP,10,28,9,9,10,36,39,-3,36,1.29,35.0,30.4,+4.5,+0.16,D W W D D,14063,Iago Aspas - 12,Agustín Marchesín
54,Sassuolo,it ITA,12,29,10,7,12,37,43,-6,37,1.28,39.1,37.8,+1.3,+0.05,W W W D L,8240,Armand Lauriente - 7,Andrea Consigli
55,Toulouse,fr FRA,12,30,11,5,14,46,52,-6,38,1.27,42.3,46.4,-4.1,-0.14,L W L L W,22932,Thijs Dallinga - 12,Maxime Dupé
56,Girona,es ESP,11,28,9,8,11,42,42,0,35,1.25,37.7,37.6,+0.1,0.00,L L D W D,11234,Cristhian Stuani - 7,Paulo Gazzaniga
57,Montpellier,fr FRA,13,30,11,4,15,46,50,-4,37,1.23,39.2,48.5,-9.3,-0.31,W W W D L,11710,Sepe Elye Wahi - 13,Jonas Omlin
58,Mallorca,es ESP,12,28,9,7,12,25,30,-5,34,1.21,24.6,30.3,-5.8,-0.21,L D L D D,14582,Vedat Muriqi - 12,Predrag Rajković
59,Monza,it ITA,13,29,9,8,12,34,41,-7,35,1.21,35.8,36.4,-0.6,-0.02,W D D L D,8050,Carlos - 5,Michele Di Gregorio
60,Werder Bremen,de GER,11,27,9,5,13,42,52,-10,32,1.19,32.2,43.2,-11.0,-0.41,L L D L D,35521,Niclas Füllkrug - 16,Jiří Pavlenka
61,Köln,de GER,12,27,7,10,10,36,45,-9,31,1.15,35.8,34.3,+1.5,+0.06,D L L D W,45908,Ellyes Skhiri - 6,Marvin Schwäbe
62,Sevilla,es ESP,13,28,8,8,12,33,44,-11,32,1.14,33.3,43.3,-9.9,-0.36,L W L W D,35994,Youssef En-Nesyri - 7,Yassine Bounou
63,Cádiz,es ESP,14,28,7,10,11,23,40,-17,31,1.11,27.3,44.8,-17.5,-0.63,D D D L W,17281,Álex Fernández Lucas Pérez... - 3,Jeremías Ledesma
64,Empoli,it ITA,14,29,7,11,11,25,36,-11,32,1.10,27.7,45.8,-18.0,-0.62,L L L W D,5715,Tommaso Baldanzi - 4,Guglielmo Vicario
65,Crystal Palace,eng ENG,12,30,8,9,13,29,40,-11,33,1.10,30.2,40.5,-10.3,-0.34,L L L W W,24900,Wilfried Zaha - 6,Vicente Guaita
66,Getafe,es ESP,15,28,7,9,12,27,36,-9,30,1.07,25.5,34.0,-8.5,-0.30,W D W D L,11191,Enes Ünal - 13,David Soria
67,Almería,es ESP,16,28,8,6,14,34,48,-14,30,1.07,33.7,47.5,-13.8,-0.49,L L D D W,12815,El Bilal Touré - 6,Fernando
68,Augsburg,de GER,13,27,8,5,14,35,50,-15,29,1.07,29.3,47.2,-17.9,-0.66,W L D D L,27376,Mergim Berisha - 9,Rafał Gikiewicz
69,Hoffenheim,de GER,14,27,8,4,15,37,46,-9,28,1.04,39.8,38.6,+1.3,+0.05,L L W W W,21740,Andrej Kramarić - 8,Oliver Baumann
70,Valladolid,es ESP,17,28,8,5,15,23,47,-24,29,1.04,25.8,49.1,-23.3,-0.83,W D L L D,20295,Sergio León Cyle Larin - 5,Jordi Masip
71,Nantes,fr FRA,14,30,6,13,11,32,42,-10,31,1.03,34.3,39.7,-5.4,-0.18,L D D L D,26216,Ludovic Blas Mostafa Mohamed - 7,Alban Lafont
